MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,Signal,Latitude,Longitude,Altitude
AA:BB:CC:DD:EE:01,HomeNetwork,WPA2,2024-01-15,1,2412,-45,35.6762,139.7670,10
AA:BB:CC:DD:EE:02,GuestWiFi,WPA2,2024-01-15,6,2437,-48,35.67625,139.76705,10
AA:BB:CC:DD:EE:03,OfficeNet,WPA2,2024-01-15,11,2462,-52,35.6763,139.7671,10
AA:BB:CC:DD:EE:04,CafeNetwork,OPEN,2024-01-15,6,2437,-55,35.6758,139.7668,5
AA:BB:CC:DD:EE:05,StoreWiFi,WPA2,2024-01-15,1,2412,-56,35.6762,139.7669,8
AA:BB:CC:DD:EE:06,PublicHotspot,OPEN,2024-01-15,11,2462,-60,35.6764,139.7672,8
AA:BB:CC:DD:EE:07,FreeWiFi,OPEN,2024-01-15,6,2437,-65,35.6760,139.7670,5
AA:BB:CC:DD:EE:08,TravelersNet,WPA2,2024-01-15,1,2412,-68,35.6761,139.7668,10
AA:BB:CC:DD:EE:09,LocalSpot,WPA,2024-01-15,11,2462,-72,35.67595,139.76695,8
AA:BB:CC:DD:EE:0A,DistantNetwork,WPA2,2024-01-15,6,2437,-85,35.6770,139.7685,8


